"key","en","ee","se","nl","jp"
"title","CoronaWare","CoronaWare","CoronaWare","CoronaWare","コロナウェア"
"credits","Created by Martin Viidik, during the COVID-19 quarantine","Loodud Martin Viidiku poolt,keset COVID-19 karantiini","Skapad av Martin Viidik, under COVID-19 karantänen","Gemaakt door Martin Viidik, tijdens de COVID-19 quarantaine","Martin Viidikによってコロナウイルスの隔離の時に作成されたゲームです。"
"play","PLAY","MÄNGI","SPELA","SPEEL","プレー"
"indoors","Stay indoors!","Püsi kodus!","Stanna inomhus!","Blijf binnen!","屋内へ止まりましょう！"
"touchface","Don't touch your face!","Ära puudu enda nägu!","Ta inte på ansiktet!","Raak je gezicht niet aan!","顔を触らないでください!"
"washhands","Wash your hands!","Pese käsi!","Tvätta händerna!","Was je handen!","手を洗いましょう！"
"hoard","Don't hoard supplies!","Osta mõistlikult!","Köp rimligt!","Niet hamsteren!","買いだめしないでください！"
"distance","Keep a distance!","Püsi piisavalt kaugel!","Håll avstånd!","Houd afstand!","距離を注意してください！"
"crowds","Don't crowd up!","Väldi seltskondi!"
"gear","Wear protective gear!","Kanna kaitsevahendeid!","Använd skyddsutrustning!","Draag beschermende kleding!","マスクをしましょう！"
"retry","RETRY","UUESTI","FÖRSÖK IGEN","PROBEER OPNIEUW","再開"
"finalscore","Your score was","Sinu punktisumma","Din poäng var","Jouw score was","スコアは"
"settings","SETTINGS","SÄTTED","INSTÄLLNINGAR","INSTELLINGEN","設定"
"scores","LEADERBOARD","EDETABEL","RANKNING","RANGSCHIKKING","スコア"
"language","Language","Keel","Språk","Taal","言語"
"english","English","Inglise","Engelsk","Engels","英語"
"estonian","Estonian","Eesti","Estniska","Ests","エストニア語"
"swedish","Swedish","Rootsi","Svenska","Zweeds","スウェーデン語"
"dutch","Dutch","Hollandi","Holländska","Nederlands","オランダ語"
"japanese","Japanese","Jaapani","japansk","Japans","日本語"
"change","Change","Muuda","Förändra","Verandering","変化する"
"changelanguage","Choose your language","Vali oma keel","Ändra ditt språk","Kies je taal","言語を選んでください"
"choose","Choose","Vali","Välja","Kiezen"
"graphics","Graphics"
"low","Low"
"medium","Medium"
"high","High"
"rumble","Rumble"
"on","On"
"off","Off"
